Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
292.0,0.0,2118.0,0.0,0.0,136.0,0.0,844.0,133.0,4988.0,266.0,1263.0
291.0,0.0,1911.0,0.0,0.0,136.0,0.0,805.0,51.0,4988.0,273.0,1752.0
283.0,0.0,1987.0,0.0,0.0,136.0,0.0,766.0,5.0,4984.0,268.0,2065.0
281.0,0.0,2277.0,0.0,0.0,421.0,0.0,801.0,0.0,4847.0,275.0,1944.0
284.0,0.0,2212.0,0.0,0.0,570.0,0.0,805.0,0.0,4729.0,277.0,2268.0
288.0,0.0,2297.0,0.0,0.0,65.0,0.0,733.0,0.0,4726.0,277.0,2269.0
287.0,0.0,2087.0,0.0,0.0,65.0,0.0,658.0,0.0,4730.0,277.0,2378.0
290.0,0.0,2162.0,0.0,0.0,93.0,0.0,650.0,0.0,4730.0,276.0,2111.0
284.0,0.0,2329.0,0.0,0.0,176.0,0.0,679.0,0.0,4730.0,275.0,2009.0
282.0,0.0,2188.0,0.0,0.0,48.0,0.0,704.0,0.0,4822.0,273.0,2007.0
285.0,0.0,1887.0,0.0,0.0,48.0,0.0,669.0,0.0,4980.0,272.0,1873.0
287.0,0.0,1820.0,0.0,0.0,49.0,0.0,755.0,0.0,4988.0,275.0,1953.0
286.0,0.0,1810.0,0.0,0.0,49.0,0.0,744.0,0.0,4990.0,274.0,1948.0
288.0,0.0,1839.0,0.0,0.0,49.0,0.0,730.0,0.0,4990.0,262.0,1918.0
296.0,0.0,1854.0,0.0,0.0,49.0,0.0,756.0,0.0,4988.0,271.0,2090.0
293.0,0.0,1790.0,0.0,0.0,49.0,0.0,760.0,0.0,4990.0,272.0,2284.0
293.0,0.0,2117.0,0.0,0.0,50.0,0.0,716.0,0.0,4990.0,269.0,2403.0
300.0,0.0,2824.0,0.0,0.0,91.0,0.0,757.0,0.0,4990.0,275.0,2501.0
306.0,0.0,3606.0,0.0,0.0,91.0,0.0,771.0,0.0,4992.0,276.0,2529.0
302.0,0.0,3602.0,0.0,0.0,128.0,0.0,817.0,15.0,4997.0,277.0,2551.0
298.0,0.0,3781.0,0.0,0.0,115.0,0.0,803.0,70.0,4994.0,272.0,2564.0
298.0,0.0,3759.0,0.0,0.0,330.0,0.0,817.0,113.0,4991.0,269.0,2588.0
299.0,0.0,3848.0,0.0,0.0,138.0,0.0,840.0,160.0,4990.0,264.0,2605.0
302.0,0.0,3945.0,0.0,0.0,78.0,0.0,845.0,168.0,4989.0,266.0,2617.0
304.0,0.0,3928.0,0.0,0.0,78.0,0.0,841.0,114.0,4991.0,265.0,2578.0
299.0,0.0,4100.0,0.0,0.0,482.0,0.0,841.0,54.0,4991.0,270.0,2570.0
297.0,0.0,4121.0,0.0,0.0,388.0,0.0,851.0,7.0,4991.0,270.0,2598.0
297.0,0.0,4144.0,0.0,0.0,426.0,0.0,852.0,0.0,4991.0,261.0,2585.0
296.0,0.0,4148.0,0.0,0.0,154.0,0.0,828.0,0.0,4994.0,269.0,2543.0
296.0,0.0,3692.0,0.0,0.0,153.0,0.0,834.0,0.0,4993.0,274.0,2515.0
296.0,0.0,3098.0,0.0,0.0,60.0,0.0,797.0,0.0,4992.0,271.0,2416.0
296.0,0.0,2672.0,0.0,0.0,60.0,0.0,788.0,0.0,4991.0,272.0,2325.0
297.0,0.0,2605.0,0.0,0.0,60.0,0.0,782.0,0.0,4992.0,272.0,2239.0
300.0,0.0,2682.0,0.0,0.0,60.0,0.0,799.0,0.0,4994.0,273.0,2161.0
296.0,0.0,2490.0,0.0,0.0,60.0,0.0,807.0,0.0,4992.0,274.0,2069.0
296.0,0.0,2334.0,0.0,0.0,60.0,0.0,804.0,0.0,4991.0,276.0,2024.0
299.0,0.0,2211.0,0.0,0.0,60.0,0.0,797.0,0.0,4995.0,273.0,1994.0
297.0,0.0,2186.0,0.0,0.0,60.0,0.0,786.0,0.0,4995.0,274.0,2002.0
299.0,0.0,2168.0,0.0,0.0,60.0,0.0,749.0,0.0,4995.0,274.0,1904.0
300.0,0.0,2479.0,0.0,0.0,60.0,0.0,780.0,0.0,4993.0,273.0,1820.0
299.0,0.0,3497.0,0.0,0.0,59.0,0.0,787.0,0.0,4995.0,270.0,1679.0
298.0,0.0,4361.0,0.0,0.0,181.0,0.0,835.0,0.0,4995.0,271.0,1583.0
297.0,0.0,4590.0,0.0,0.0,270.0,0.0,851.0,2.0,4995.0,273.0,1365.0
297.0,0.0,4859.0,0.0,0.0,625.0,0.0,854.0,13.0,4997.0,271.0,1034.0
299.0,0.0,5063.0,0.0,0.0,508.0,0.0,859.0,69.0,4996.0,264.0,868.0
297.0,0.0,5139.0,0.0,0.0,469.0,0.0,854.0,111.0,4996.0,267.0,937.0
298.0,0.0,5339.0,0.0,0.0,224.0,0.0,849.0,117.0,4994.0,267.0,970.0
297.0,0.0,4908.0,0.0,0.0,224.0,0.0,843.0,103.0,4993.0,267.0,1089.0
298.0,0.0,4817.0,0.0,0.0,224.0,0.0,853.0,72.0,4993.0,271.0,1198.0
299.0,0.0,4901.0,0.0,0.0,225.0,0.0,867.0,30.0,4994.0,271.0,1166.0
301.0,0.0,5057.0,0.0,0.0,69.0,0.0,879.0,2.0,4993.0,272.0,1106.0
299.0,0.0,5039.0,0.0,0.0,827.0,0.0,880.0,0.0,4991.0,272.0,1070.0
