"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK1","31.08.2018 04:00 - 31.08.2018 05:00 (CET/CEST)","208","n/e","n/e","80","21","5","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","0","79","416","593"
"BZN|DK1","31.08.2018 05:00 - 31.08.2018 06:00 (CET/CEST)","318","n/e","n/e","87","32","7","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","0","79","419","586"
"BZN|DK1","31.08.2018 06:00 - 31.08.2018 07:00 (CET/CEST)","383","n/e","n/e","130","22","5","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","2","76","458","588"
"BZN|DK1","31.08.2018 07:00 - 31.08.2018 08:00 (CET/CEST)","377","n/e","n/e","286","38","8","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","25","81","466","596"
"BZN|DK1","31.08.2018 08:00 - 31.08.2018 09:00 (CET/CEST)","382","n/e","n/e","312","42","9","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","78","80","409","553"
"BZN|DK1","31.08.2018 09:00 - 31.08.2018 10:00 (CET/CEST)","388","n/e","n/e","311","40","8","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","142","82","414","598"
"BZN|DK1","31.08.2018 10:00 - 31.08.2018 11:00 (CET/CEST)","358","n/e","n/e","288","35","7","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","174","79","425","608"
"BZN|DK1","31.08.2018 11:00 - 31.08.2018 12:00 (CET/CEST)","326","n/e","n/e","254","27","6","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","222","77","422","533"
"BZN|DK1","31.08.2018 12:00 - 31.08.2018 13:00 (CET/CEST)","402","n/e","n/e","314","45","9","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","267","78","400","528"
"BZN|DK1","31.08.2018 13:00 - 31.08.2018 14:00 (CET/CEST)","400","n/e","n/e","268","48","10","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","281","79","351","530"
