"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO4","05.06.2023 15:00 - 05.06.2023 16:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","290","851","n/e","n/e","n/e","22","n/e","n/e","n/e","591"
"BZN|NO4","05.06.2023 16:00 - 05.06.2023 17:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","284","846","n/e","n/e","n/e","18","n/e","n/e","n/e","600"
"BZN|NO4","05.06.2023 17:00 - 05.06.2023 18:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","284","804","n/e","n/e","n/e","22","n/e","n/e","n/e","595"
"BZN|NO4","05.06.2023 18:00 - 05.06.2023 19:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","293","890","n/e","n/e","n/e","17","n/e","n/e","n/e","523"
"BZN|NO4","05.06.2023 19:00 - 05.06.2023 20:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","292","1041","n/e","n/e","n/e","11","n/e","n/e","n/e","427"
"BZN|NO4","05.06.2023 20:00 - 05.06.2023 21:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","290","1071","n/e","n/e","n/e","11","n/e","n/e","n/e","376"
"BZN|NO4","05.06.2023 21:00 - 05.06.2023 22:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","285","1095","n/e","n/e","n/e","16","n/e","n/e","n/e","312"
"BZN|NO4","05.06.2023 22:00 - 05.06.2023 23:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","288","1031","n/e","n/e","n/e","17","n/e","n/e","n/e","291"
"BZN|NO4","05.06.2023 23:00 - 06.06.2023 00:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","287","892","n/e","n/e","n/e","12","n/e","n/e","n/e","282"
"BZN|NO4","06.06.2023 00:00 - 06.06.2023 01:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","273","985","n/e","n/e","n/e","19","n/e","n/e","n/e","295"
"BZN|NO4","06.06.2023 01:00 - 06.06.2023 02:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","272","916","n/e","n/e","n/e","22","n/e","n/e","n/e","269"
"BZN|NO4","06.06.2023 02:00 - 06.06.2023 03:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","279","981","n/e","n/e","n/e","14","n/e","n/e","n/e","256"
"BZN|NO4","06.06.2023 03:00 - 06.06.2023 04:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","291","999","n/e","n/e","n/e","14","n/e","n/e","n/e","246"
"BZN|NO4","06.06.2023 04:00 - 06.06.2023 05:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","283","1118","n/e","n/e","n/e","17","n/e","n/e","n/e","230"
"BZN|NO4","06.06.2023 05:00 - 06.06.2023 06:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","276","1572","n/e","n/e","n/e","15","n/e","n/e","n/e","219"
"BZN|NO4","06.06.2023 06:00 - 06.06.2023 07:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","274","2113","n/e","n/e","n/e","15","n/e","n/e","n/e","194"
"BZN|NO4","06.06.2023 07:00 - 06.06.2023 08:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","287","2287","n/e","n/e","n/e","16","n/e","n/e","n/e","202"
"BZN|NO4","06.06.2023 08:00 - 06.06.2023 09:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","294","2616","n/e","n/e","n/e","17","n/e","n/e","n/e","206"
"BZN|NO4","06.06.2023 09:00 - 06.06.2023 10:00 (CET/CEST)","n/e","n/e","n/e","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","274","2586","n/e","n/e","n/e","12","n/e","n/e","n/e","200"
"BZN|NO4","06.06.2023 10:00 - 06.06.2023 11:00 (CET/CEST)","n/e","n/e","n/e","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","267","2590","n/e","n/e","n/e","10","n/e","n/e","n/e","192"
"BZN|NO4","06.06.2023 11:00 - 06.06.2023 12:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","2733","n/e","n/e","n/e","2","n/e","n/e","n/e","180"
"BZN|NO4","06.06.2023 12:00 - 06.06.2023 13:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","270","2717","n/e","n/e","n/e","15","n/e","n/e","n/e","170"
"BZN|NO4","06.06.2023 13:00 - 06.06.2023 14:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","2776","n/e","n/e","n/e","13","n/e","n/e","n/e","173"
"BZN|NO4","06.06.2023 14:00 - 06.06.2023 15:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","270","2779","n/e","n/e","n/e","7","n/e","n/e","n/e","175"
"BZN|NO4","06.06.2023 15:00 - 06.06.2023 16:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","2677","n/e","n/e","n/e","15","n/e","n/e","n/e","195"
"BZN|NO4","06.06.2023 16:00 - 06.06.2023 17:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","2907","n/e","n/e","n/e","14","n/e","n/e","n/e","236"
"BZN|NO4","06.06.2023 17:00 - 06.06.2023 18:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","262","2934","n/e","n/e","n/e","13","n/e","n/e","n/e","262"
"BZN|NO4","06.06.2023 18:00 - 06.06.2023 19:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","260","2875","n/e","n/e","n/e","13","n/e","n/e","n/e","230"
"BZN|NO4","06.06.2023 19:00 - 06.06.2023 20:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","261","2938","n/e","n/e","n/e","14","n/e","n/e","n/e","186"
"BZN|NO4","06.06.2023 20:00 - 06.06.2023 21:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","261","2994","n/e","n/e","n/e","16","n/e","n/e","n/e","178"
"BZN|NO4","06.06.2023 21:00 - 06.06.2023 22:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","261","2931","n/e","n/e","n/e","15","n/e","n/e","n/e","209"
"BZN|NO4","06.06.2023 22:00 - 06.06.2023 23:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","2822","n/e","n/e","n/e","18","n/e","n/e","n/e","164"
"BZN|NO4","06.06.2023 23:00 - 07.06.2023 00:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","264","2506","n/e","n/e","n/e","21","n/e","n/e","n/e","132"
"BZN|NO4","07.06.2023 00:00 - 07.06.2023 01:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","265","2739","n/e","n/e","n/e","27","n/e","n/e","n/e","137"
"BZN|NO4","07.06.2023 01:00 - 07.06.2023 02:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","263","2715","n/e","n/e","n/e","28","n/e","n/e","n/e","131"
"BZN|NO4","07.06.2023 02:00 - 07.06.2023 03:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","2728","n/e","n/e","n/e","18","n/e","n/e","n/e","141"
"BZN|NO4","07.06.2023 03:00 - 07.06.2023 04:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","263","2644","n/e","n/e","n/e","18","n/e","n/e","n/e","159"
"BZN|NO4","07.06.2023 04:00 - 07.06.2023 05:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","262","2593","n/e","n/e","n/e","19","n/e","n/e","n/e","195"
"BZN|NO4","07.06.2023 05:00 - 07.06.2023 06:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","257","2552","n/e","n/e","n/e","14","n/e","n/e","n/e","228"
"BZN|NO4","07.06.2023 06:00 - 07.06.2023 07:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","256","2576","n/e","n/e","n/e","13","n/e","n/e","n/e","245"
"BZN|NO4","07.06.2023 07:00 - 07.06.2023 08:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","256","2674","n/e","n/e","n/e","16","n/e","n/e","n/e","277"
"BZN|NO4","07.06.2023 08:00 - 07.06.2023 09:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","259","3030","n/e","n/e","n/e","18","n/e","n/e","n/e","312"
"BZN|NO4","07.06.2023 09:00 - 07.06.2023 10:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","256","3096","n/e","n/e","n/e","14","n/e","n/e","n/e","279"
"BZN|NO4","07.06.2023 10:00 - 07.06.2023 11:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","250","3066","n/e","n/e","n/e","12","n/e","n/e","n/e","370"
"BZN|NO4","07.06.2023 11:00 - 07.06.2023 12:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","259","3062","n/e","n/e","n/e","4","n/e","n/e","n/e","408"
"BZN|NO4","07.06.2023 12:00 - 07.06.2023 13:00 (CET/CEST)","n/e","n/e","n/e","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","260","3035","n/e","n/e","n/e","8","n/e","n/e","n/e","396"
