"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|EE","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","70","n/e","26","2","n/e","n/e","156","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","16","n/e","29"
"BZN|EE","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","69","n/e","27","2","n/e","n/e","119","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","15","n/e","29"
"BZN|EE","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","69","n/e","26","2","n/e","n/e","123","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","16","n/e","25"
"BZN|EE","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","66","n/e","24","2","n/e","n/e","121","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","15","n/e","20"
"BZN|EE","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","67","n/e","24","2","n/e","n/e","122","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","15","n/e","23"
"BZN|EE","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","68","n/e","24","2","n/e","n/e","119","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","15","n/e","23"
"BZN|EE","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","68","n/e","25","2","n/e","n/e","118","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","15","n/e","20"
"BZN|EE","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","67","n/e","23","2","n/e","n/e","122","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","15","n/e","12"
"BZN|EE","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","67","n/e","23","2","n/e","n/e","121","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","1","15","n/e","8"
"BZN|EE","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","68","n/e","24","2","n/e","n/e","121","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","2","15","n/e","7"
"BZN|EE","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","68","n/e","24","2","n/e","n/e","121","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","3","15","n/e","7"
"BZN|EE","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","68","n/e","24","2","n/e","n/e","121","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","4","16","n/e","7"
"BZN|EE","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","69","n/e","24","2","n/e","n/e","120","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","3","16","n/e","6"
"BZN|EE","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","69","n/e","25","2","n/e","n/e","121","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","2","16","n/e","8"
"BZN|EE","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","69","n/e","29","2","n/e","n/e","121","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","16","n/e","9"
"BZN|EE","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","70","n/e","31","2","n/e","n/e","170","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","16","n/e","11"
"BZN|EE","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","71","n/e","32","2","n/e","n/e","168","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","16","n/e","15"
"BZN|EE","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","72","n/e","32","2","n/e","n/e","161","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","4","0","16","n/e","17"
