MTU,BE,BG,CH,CZ,DK,EE,ES,FI,FR,HU,IE,IT,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2023-01-01 00:00:00,104.23481419815568,259.97935336595714,27.481309044487244,267.902644990892,312.8348093741903,250.54250241441952,219.6139159044542,184.5014395832144,64.97776490676192,147.12397837188632,,143.3272965325992,339.63817353892165,465.165274313416,,238.14787579877915,398.5687860177738,20.014480250828928,635.054665699075,167.3640740214058,214.70609212202496,311.6574372129856,31.90711903391528,56.25748942165704,131.88013465312355
2023-01-01 01:00:00,153.66550469953603,242.80095077391923,27.20239076259408,272.0267912937556,296.40612481625817,247.77097230391456,244.54821110709383,186.62523766631816,72.93769724940199,151.7549523710832,,147.81863889115053,416.30528698054536,573.0626889045766,,251.02664880362207,398.1591665819745,19.73283810401656,601.0563559620449,184.02462146687975,225.5039971017652,317.80147472549373,32.36425151837354,56.29190826982458,168.9344729799391
2023-01-01 02:00:00,159.2516210849316,232.46035056276577,27.40666548232304,270.2347469723827,315.8559663101476,246.2950184367063,259.9636807622894,187.14292648607343,71.56942708000624,160.27502305746114,,153.55181904229755,342.5537849001733,651.0958796726917,,271.0817069694776,400.0184816528399,19.778636644889797,572.0479701870777,243.6732989026916,233.6954212211907,329.67643732474244,32.71578699919607,58.29079416425258,218.8604063398913
2023-01-01 03:00:00,163.549950219326,232.59397972500904,28.00477901521655,295.62510368115466,326.761323946402,234.53740051926977,271.1381924518805,188.4968740428368,74.44964057698043,157.84293535867502,264.86368991720195,157.60743496574656,343.14208765312804,632.4271610393877,,292.7632711554922,397.15040953675344,19.492577757455557,588.7283623644644,313.6010212833921,224.91253700144875,338.4617400681853,33.191867744230535,56.73380755915971,194.18417220541951
2023-01-01 04:00:00,162.77140424252528,231.7202297964828,28.076600611939718,282.16290818209507,323.61398372718287,220.21264488377665,289.57429701215216,187.5744490557748,99.19440833141785,158.19632448307033,,160.91777688750858,343.23775575641776,687.9991606920134,,313.7467617529314,400.676975414207,19.304235517530657,609.2387724398424,344.67473426356656,207.74449076430813,324.8497399453754,33.10798825944278,55.76313709660301,252.17464970979745
2023-01-01 05:00:00,147.50322460072363,231.5934369131312,27.9830963596286,265.0882958873135,347.3525088192493,209.18595442444845,289.0451140745451,188.6914923549712,112.96323499674568,157.85634497692203,,160.63960410636648,343.8370247601402,724.3346989264227,,321.1765631911204,399.4172607078099,19.08619581016884,614.6103733358691,388.0826978748249,207.0220360607053,317.32108304559506,32.5562642623368,55.76313709660301,193.88990499992715
2023-01-01 06:00:00,103.6085569580063,231.36448156955475,27.598891234092655,260.2925901374891,310.31418372452384,199.54955512466424,286.8178361645102,188.60656877327975,114.54110801755095,153.21723241548727,,159.05439366033264,403.3331675837581,756.8852852614141,,276.52179079703865,401.4009882217591,19.956878786929103,616.1709487770265,393.37103024352615,215.26602430222755,333.69823259256503,32.23685918140359,53.41934818969671,163.00978717894307
2023-01-01 07:00:00,100.9413448896327,234.74162394831856,27.842588469223163,259.86653720651094,262.3960970720409,194.92924842640605,274.04026453124027,186.84913652898237,116.9768149186084,167.52017843654988,,155.44412682394903,417.9601777266048,222.5251423199796,,234.93719814035384,400.5395057479281,20.280956801315323,617.179923841891,399.826585439925,216.36097927656095,330.03668708438283,32.03496846497956,52.42562650999274,156.69153850859354
2023-01-01 08:00:00,100.58113912026931,246.68663625650905,27.94057407602624,261.8420064494738,251.54103478371465,189.1361190401138,256.228444471193,188.048267726192,117.089548577182,201.9395790335656,282.9364005019375,163.1366388802734,420.8317609668295,231.0095845167154,,218.47494527707107,401.5782089879624,20.12193746908997,614.2726387618427,384.0692179776692,221.0394594894777,308.22614199380234,32.17552616707615,58.782020176582826,89.13948042067325
2023-01-01 09:00:00,114.07289768576692,256.40227994208703,29.982071150225124,268.3250830061967,251.2821958661774,197.2489005627231,271.2146845656909,187.7312627392504,123.59132329944372,251.6500940386477,213.37695496542904,256.7101516088876,341.5058060452501,209.78599939433943,,222.989551626605,401.8513833610774,19.84097277162543,616.7281838554833,385.6829283808461,232.22510542051137,288.12624080426576,32.324396516151545,66.53982043284404,89.84241690252631
