zone_code,mean,cv
BE,157.54239070715673,0.44323789546534215
BG,268.5950718129138,0.18650514642130078
CH,33.13409370741899,0.4212319064414673
CZ,320.4358399231809,0.1428087346944689
DK,345.91302760856,0.16034208727910834
EE,318.7901208791031,0.19639375592554453
ES,205.32384584655333,0.5422750771000517
FI,152.91145972511197,0.06509527026812238
FR,77.51639393227323,0.49526498895696947
HU,201.24428159951134,0.37869165060998494
IE,320.3058283674613,0.7534399428645815
IT,153.2245530793623,0.43472403322274766
LT,404.9671052468651,0.4031967755786522
LV,159.29231997072327,0.31553367016774386
ME,274.15925712687283,0.2502730615512596
MK,267.6347409255908,0.16706531045606574
NL,326.38965576471827,0.12698648139459634
NO,15.958430450923975,0.04787675667591974
PL,554.155628152446,0.04783084732060471
PT,278.792846337548,0.49592225583642313
RO,204.68395871103885,0.12500345434249532
RS,320.59584090534827,0.08412039434189546
SE,16.450019042187776,0.19001317076545224
SI,146.8708204182076,0.19424693564603532
SK,125.13374012278352,0.335364894908777
